1,"apik bos sangat berguna","positif"
2,"Nice Sy sdh lama pke aplikasi ini... stabil","positif"
3,"semakin cemerlang pokoknya","positif"
4,"Aplikasi sgt membantu, tapi klo bisa ada pembelian token PLN buat update slnjtny","positif"
5,"Love u bca mobile Sangat membantu...gk susah lagi pas dalam kesusahan...harunya provider bank2 lain tiru BCA mobile..trkadang setiap kita pasti ada yang beda kalau anda suka provider lain silakan..saya mah ttp BCA mobile","positif"
6,"aplikasi yang sangat bermanfaat	membantu kelancaran aktifitas perbankan","positif"
7,"Good to Great Aplikasi yg sangat membantu","positif"
8,"Sangat berguna Yg pake andro 2 sim biar gak error, sms harus diset otomatis pakai sim yang terdaftar.","positif"
9,"Soo far lancar","positif"
10,"Lancar jaya, lbh enak buat transaksi drpd sms banking.","positif"
11,"Applikasi bca mobie Sangat membantu dan mudah utk diaplikasikan....mantap","positif"
12,"mbca sangat membantu","positif"
13,"Hebat Luar Biasa","positif"
14,"Aplikasi yg sangat membantu sy dlm bertransaksi...","positif"
15,"Ok... Selama signal kuat transaksi pasti lancar","positif"
16,"Saya merasa dpt kemudahan dgn aplikasi ini","positif"
17,"KLIKBCA	Membuat transaksi semakin simpel","positif"
18,"Mantap Udah bisa di install di lolipop 5.1","positif"
19,"Akhir nya sudah bisa lgi apps nya.. makasih atas partisipasi nya... good job ̡�����","positif"
20,"Akhirnya jadi juga Makasih BCA aplikasinya udah di perbaiki. Skrg udah bisa di download sepertia biasa stlh isi 16 digit no atm :)","positif"
21,"memudahkan","positif"
22,"Nice App !!! Aplikasi yg mantap, serba guna .Membuat urusan jual beli sangat efisien. Simple dan sederhana. Kalau kadang lola, stuck dll... karena disebabkan jaringan . Harap maklum hsdpa, atau lte , 4G di Indonesia sama dengab 2G di S,pore... :)","positif"
23,"Nice	Sangat berguna aplikasi ini","positif"
24,"It works Ga pernah ada masalah sejak aktifin online dan mobile banking sejak tahun lalu.","positif"
25,"cool stelah buka baru dan minta fasilitas m-bca sm CSnya..aku bisa langsung pake app ini uk bayar atau transfer..bravo BCA","positif"
26,"Bagus, ndak pernah eror pake apk ini","positif"
27,"Suuuukkkaaaaakk	Gak perlu buang2 pulsa lg. Lancar di Xiaomi Redme 1s. Transfer lancar. Proses cepat. :)","positif"
28,"Good Sangat membantu n sangat berbeda dari aplikasi mobile banking yang lainnya","positif"
29,"Berguna	Sangat berguna tuk kebutuhan perbankan sehari-hari..","positif"
30,"Nice Sangat membantu","positif"
31,"Good App Sangat membantu...Gak ada error..smpe skr msh berjalan bagus app nya...","positif"
32,"sangat menolong & praktis","positif"
33,"Loved it Memudahkan transaksi... Sangat..","positif"
34,"Successfully installed	Sudah setahun lebih pake app ini ga ada masalah. Pernah upgrade trus suruh confirm kode akses lancar jaya. Trus ini baru download lg gara2 hp habis di hard reset, proses install dan verifikasi lancar jaya. Gak ada error sama sekali. Mungkin pastikan nomor yg anda pakai skrg ini dulu sudah pernah didaftarkan ke teller BCA utk aplikasi m-banking, so if you got the notif ""sms sent"", the app will automatically identify your number which has been registered, and will work for you smoothly. Thanks BCA.","positif"
35,"Sejauh ini masih lancar lanja aja","positif"
36,"Aplikasi ini sangat mudah di gunakan dan sangat membantu. Terima kasih. Great job.","positif"
37,"Memudahkan hidup Sangat terbantu dgn adanya aplikasi ini, ga pernah ada masalah. Hanya kalau ganti handset atau kartu trnyata harus direinstall","positif"
38,"Bagus banget Nice application. Memudahkan untuk cek saldo dan transferan. Thanks BCA","positif"
39,"Bagus Banget Work nicely...","positif"
40,"Enak banget simple makenya, gampang pengaturanyaa ̡���ρ̡������̡�����̡�����","positif"
41,"Bagus	Jualan jadi lancaarr jaya","positif"
42,"Semuanya lancar dan benar-benar memudahkan. Penilaian saya bintang 4 karena ada 1 bagian yg memerlukan sedikit perbaikan, bagian mutasi rekening selalu ""unfortunately bca mobile has stopped"".","positif"
43,"Praktis","positif"
44,"Bagus.. Semoga keamanan terjamin trus","positif"
45,"sudah tidak ada masalah	sudah bisa di install dan di gunakan dgn baik. terimakasih bca̢��","positif"
46,"Good Gak ada masalah dalam pemakaian bca mobile..utk sms banking harus aktivasi dulu ke cabang","positif"
47,"Excellent App Saya menggunakan aplikasi ini di Samsung Galaxy Ace 3.., mulai awal instal gak ada masalah.. Transfer, beli pulsa, gak ada masalah.. Transfer tertinggi saya menggunakan aplikasi ini sejumlah 8 juta lancar aja.. Bener2 terbantu dg aplikasi ini.. Tambahan, harap daftarkan nomor HP anda di kantor BCA terlebih dahulu, jangan di ATM. Klau tidak sidaftarkan ya jangan harap berhasil.. thanks BCA.","positif"
48,"Ga ada masalah	Yg baru update, respon error107, coba rate aplikasi lalu reinstall. Buat yg dual simcard (smartfren) setting sms yg gsm. Work it!","positif"
49,"Helpfull Apps Sangat kudah dan membantu sekali ....","positif"
50,"Powerfull Dimana aje kapan aje.. asal jaringan internet dapet.. semua pasti beres..","positif"
51,"Bagus	Sangat membantu. Ga perlu ke atm lagi, transfer, lihat saldo, beli pulsa dimana2 juga bisa ^^.","positif"
52,"mantap Memudahkan transaksi dimana saja","positif"
53,"Bagus Sangat membantu dalam segala transaksi, utamanya buat yang sibuk karna saya bisa melakukan segala transaksi kapan pun dan dimana pun.","positif"
54,"no error saya udah lama pakai aplikasi ini dan tidak ada masalah. jik anda udah daftar m-banking di atm, itu hanya utk transaksi non finansial, misalkan cek saldo. namun untuk transaksi finansial (transfer, pembelian, pembayaran) harus ke CS kantor bca setempat. dipastikan kartu atm tidak tersambung ke no hp lainnya, krn 1 no hp hanya utk 1 no rekening. Apabila ada error silahkan telfon Halo BCA di 500888 :) semoga membantu.. :)","positif"
55,"Bagus	Memudahkan transaksi","positif"
56,"Good aplication	Transaksi perbankan, cukup lewat mobile banking, tidak perlu ke atm ato bank. Mempermudah,mempersingkat waktu, efektif dan efisien.","positif"
